filepath,genre
genres/reggae/reggae.00051.au,reggae
genres/rock/rock.00015.au,rock
genres/reggae/reggae.00082.au,reggae
genres/disco/disco.00043.au,disco
genres/rock/rock.00041.au,rock
genres/blues/blues.00097.au,blues
genres/rock/rock.00034.au,rock
genres/classical/classical.00002.au,classical
genres/classical/classical.00085.au,classical
genres/jazz/jazz.00071.au,jazz
genres/classical/classical.00059.au,classical
genres/reggae/reggae.00021.au,reggae
genres/rock/rock.00011.au,rock
genres/disco/disco.00005.au,disco
genres/country/country.00099.au,country
genres/country/country.00070.au,country
genres/disco/disco.00050.au,disco
genres/hiphop/hiphop.00027.au,hiphop
genres/country/country.00057.au,country
genres/metal/metal.00041.au,metal
genres/metal/metal.00010.au,metal
genres/country/country.00085.au,country
genres/disco/disco.00051.au,disco
genres/reggae/reggae.00088.au,reggae
genres/metal/metal.00021.au,metal
genres/country/country.00040.au,country
genres/country/country.00015.au,country
genres/classical/classical.00047.au,classical
genres/hiphop/hiphop.00019.au,hiphop
genres/disco/disco.00067.au,disco
genres/disco/disco.00039.au,disco
genres/rock/rock.00024.au,rock
genres/metal/metal.00078.au,metal
genres/pop/pop.00028.au,pop
genres/reggae/reggae.00029.au,reggae
genres/classical/classical.00035.au,classical
genres/hiphop/hiphop.00000.au,hiphop
genres/hiphop/hiphop.00005.au,hiphop
genres/country/country.00036.au,country
genres/rock/rock.00060.au,rock
genres/metal/metal.00093.au,metal
genres/rock/rock.00049.au,rock
genres/blues/blues.00085.au,blues
genres/hiphop/hiphop.00070.au,hiphop
genres/country/country.00022.au,country
genres/rock/rock.00065.au,rock
genres/country/country.00014.au,country
genres/blues/blues.00039.au,blues
genres/pop/pop.00004.au,pop
genres/pop/pop.00046.au,pop
genres/hiphop/hiphop.00023.au,hiphop
genres/classical/classical.00064.au,classical
genres/metal/metal.00054.au,metal
genres/country/country.00002.au,country
genres/country/country.00048.au,country
genres/reggae/reggae.00075.au,reggae
genres/classical/classical.00024.au,classical
genres/pop/pop.00036.au,pop
genres/blues/blues.00022.au,blues
genres/metal/metal.00099.au,metal
genres/disco/disco.00059.au,disco
genres/hiphop/hiphop.00086.au,hiphop
genres/jazz/jazz.00082.au,jazz
genres/country/country.00065.au,country
genres/blues/blues.00046.au,blues
genres/metal/metal.00017.au,metal
genres/blues/blues.00055.au,blues
genres/disco/disco.00006.au,disco
genres/hiphop/hiphop.00055.au,hiphop
genres/rock/rock.00028.au,rock
genres/pop/pop.00013.au,pop
genres/jazz/jazz.00067.au,jazz
genres/pop/pop.00089.au,pop
genres/reggae/reggae.00050.au,reggae
genres/country/country.00047.au,country
genres/disco/disco.00014.au,disco
genres/metal/metal.00049.au,metal
genres/country/country.00063.au,country
genres/hiphop/hiphop.00069.au,hiphop
genres/disco/disco.00035.au,disco
genres/reggae/reggae.00041.au,reggae
genres/hiphop/hiphop.00094.au,hiphop
genres/country/country.00053.au,country
genres/blues/blues.00037.au,blues
genres/metal/metal.00032.au,metal
genres/country/country.00078.au,country
genres/metal/metal.00096.au,metal
genres/country/country.00038.au,country
genres/reggae/reggae.00058.au,reggae
genres/disco/disco.00008.au,disco
genres/disco/disco.00087.au,disco
genres/blues/blues.00038.au,blues
genres/jazz/jazz.00095.au,jazz
genres/hiphop/hiphop.00067.au,hiphop
genres/blues/blues.00074.au,blues
genres/metal/metal.00077.au,metal
genres/hiphop/hiphop.00084.au,hiphop
genres/country/country.00025.au,country
genres/metal/metal.00076.au,metal
genres/metal/metal.00079.au,metal
genres/pop/pop.00070.au,pop
genres/reggae/reggae.00096.au,reggae
genres/reggae/reggae.00000.au,reggae
genres/classical/classical.00032.au,classical
genres/reggae/reggae.00019.au,reggae
genres/hiphop/hiphop.00083.au,hiphop
genres/hiphop/hiphop.00097.au,hiphop
genres/disco/disco.00013.au,disco
genres/blues/blues.00054.au,blues
genres/disco/disco.00079.au,disco
genres/classical/classical.00013.au,classical
genres/classical/classical.00030.au,classical
genres/reggae/reggae.00061.au,reggae
genres/reggae/reggae.00072.au,reggae
genres/jazz/jazz.00073.au,jazz
genres/reggae/reggae.00040.au,reggae
genres/blues/blues.00080.au,blues
genres/rock/rock.00098.au,rock
genres/classical/classical.00054.au,classical
genres/rock/rock.00039.au,rock
genres/jazz/jazz.00016.au,jazz
genres/pop/pop.00067.au,pop
genres/metal/metal.00087.au,metal
genres/rock/rock.00081.au,rock
genres/rock/rock.00010.au,rock
genres/jazz/jazz.00077.au,jazz
genres/classical/classical.00019.au,classical
genres/country/country.00077.au,country
genres/pop/pop.00063.au,pop
genres/country/country.00044.au,country
genres/hiphop/hiphop.00012.au,hiphop
genres/rock/rock.00054.au,rock
genres/blues/blues.00067.au,blues
genres/pop/pop.00003.au,pop
genres/pop/pop.00001.au,pop
genres/reggae/reggae.00052.au,reggae
genres/disco/disco.00084.au,disco
genres/rock/rock.00029.au,rock
genres/pop/pop.00037.au,pop
genres/classical/classical.00073.au,classical
genres/reggae/reggae.00038.au,reggae
genres/reggae/reggae.00039.au,reggae
genres/metal/metal.00048.au,metal
genres/metal/metal.00071.au,metal
genres/country/country.00092.au,country
genres/blues/blues.00079.au,blues
genres/rock/rock.00045.au,rock
genres/metal/metal.00064.au,metal
genres/reggae/reggae.00099.au,reggae
genres/metal/metal.00023.au,metal
